{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T05:08:52.46647'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T05:26:03.089046'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T05:28:48.993365'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T05:35:25.439788'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T06:06:18.089176'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T06:11:31.373922'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T06:18:00.581605'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T06:18:55.181557'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T06:24:40.469803'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T06:37:27.504742'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T06:42:47.434688'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T06:50:05.67825'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T06:59:00.32368'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T07:04:22.806915'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T07:06:39.567633'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T07:13:27.295053'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T07:22:06.452961'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T07:42:00.587786'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T08:31:36.551875'}
{'nodeId': 620014, 'meterNumber': 'WB2700000', 'meterMaker': 'ISKME260', 'gwId': '866340057560008', 'sinkId': 'sink4', 'rfMeterType': 'SMART', 'debugServerTime': '2022-12-03T08:41:49.410597'}
